iso3_countrycode,country,lat,lon,year,amount_totalcap.mw_nonrenewable,amount_totalcap.mw_nuclear,amount_totalcap.mw_renewable,amount_totalgen.gwh_nonrenewable,amount_totalgen.gwh_nuclear,amount_totalgen.gwh_renewable,prop_totalcap.mw_nonrenewable,prop_totalcap.mw_nuclear,prop_totalcap.mw_renewable,prop_totalgen.gwh_nonrenewable,prop_totalgen.gwh_nuclear,prop_totalgen.gwh_renewable
GLP,Guadeloupe,NA,NA,2022,347.95,0,218.49,0,0,0,0.6142751218134311,0,0.3857248781865687,NA,NA,NA
GUM,Guam,13.41063,144.72553,2022,420,0,104.96000000000001,0,0,0,0.8000609570252971,0,0.19993904297470283,NA,NA,NA
GTM,Guatemala,15.697457377037718,-90.36558668205912,2022,1121.74,0,2704.89,2608.14,0,9863.61,0.2931404394989847,0,0.7068595605010152,0.20912381983282216,0,0.7908761801671779
GIN,Guinea,10.439779057777208,-10.922846584815884,2022,428,0,828.62,0,0,0,0.34059620251149914,0,0.659403797488501,NA,NA,NA
GNB,Guinea-Bissau,12.049531791105837,-14.915551824393315,2022,28,0,1.17,0,0,0,0.9598902982516283,0,0.04010970174837161,NA,NA,NA
GUY,Guyana,4.786260333682758,-58.975417401751095,2022,357.3,0,53.269999999999996,0,0,0,0.8702535499427625,0,0.12974645005723748,NA,NA,NA
HTI,Haiti,18.933423429022024,-72.6741300927599,2022,400.37,0,80.77,0,0,0,0.8321278629920605,0,0.1678721370079395,NA,NA,NA
HND,Honduras,14.818229525573996,-86.61718764862167,2022,1098.9,0,1941.19,4536.61,0,7089.3099999999995,0.3614695617563954,0,0.6385304382436047,0.3902151399631169,0,0.6097848600368831
HUN,Hungary,47.165147632758455,19.41216375139736,2022,5734,2013,3925.5,0,0,0,0.491240094238595,0.17245662882844293,0.3363032769329621,NA,NA,NA
ISL,Iceland,64.99137842842087,-18.58434453087538,2022,126.28,0,2879.4900000000002,0,0,0,0.04201252923543717,0,0.9579874707645628,NA,NA,NA
IND,India,22.89776605014126,79.59759153553568,2022,312170.12,6780,167798.21,0,0,0,0.641337834687589,0.0139291695155893,0.34473299579682176,NA,NA,NA
IDN,Indonesia,-0.1974852879545756,114.00240852594834,2022,71243.19,0,12603.23,0,0,0,0.8496867248476441,0,0.15031327515235593,NA,NA,NA
IRN,Iran (Islamic Republic of),32.56830209529258,54.30219068505475,2022,75586,1020,13438.8,0,0,0,0.8394265965386118,0.0113276946586588,0.1492457088027293,NA,NA,NA
IRQ,Iraq,33.05014031709742,43.76589373215051,2022,29559,0,1838.92,0,0,0,0.9414317891121451,0,0.058568210887855,NA,NA,NA
IRL,Ireland,53.17710862521655,-8.143429146516057,2022,6031.3,0,5390.89,0,0,0,0.5280335907562385,0,0.4719664092437615,NA,NA,NA
ISR,Israel,31.35643364689781,34.966528357144185,2022,16770,0,4770.28,0,0,0,0.7785414117179535,0,0.22145858828204648,NA,NA,NA
ITA,Italy,43.522746008511405,12.161899939484467,2022,57935.8,0,63831.4,0,0,0,0.47579151035746897,0,0.524208489642531,NA,NA,NA
JAM,Jamaica,18.157555418826806,-77.3124411044779,2022,1390.6599999999999,0,256.69,0,0,0,0.8441800467417366,0,0.15581995325826328,NA,NA,NA
JPN,Japan,36.65521248487089,137.97486816735412,2022,183682.5,33083,143322.5,0,0,0,0.5101044744617982,0.09187476394659083,0.3980207615916109,NA,NA,NA
JOR,Jordan,31.249692204163654,36.787790063600056,2022,3977,0,2555.19,0,0,0,0.608831035227083,0,0.39116896477291685,NA,NA,NA
KAZ,Kazakhstan,48.16033785794956,67.26518583042247,2022,19461.2,0,5068.8,0,0,0,0.7933632286995516,0,0.20663677130044844,NA,NA,NA
KEN,Kenya,0.559059895374076,37.844085698400576,2022,756.1,0,2649.41,0,0,0,0.2220225458154579,0,0.7779774541845421,NA,NA,NA
KIR,Kiribati,1.854301586515497,-157.35367429940553,2022,6.54,0,3.2199999999999998,0,0,0,0.6700819672131147,0,0.32991803278688525,NA,NA,NA
NA,Kosovo,NA,NA,2022,1288,0,268.63,0,0,0,0.8274284833261597,0,0.17257151667384027,NA,NA,NA
KWT,Kuwait,29.330034005347105,47.57908967999031,2022,20180.2,0,96.66,0,0,0,0.9952329897232609,0,0.004767010276739101,NA,NA,NA
KGZ,Kyrgyzstan,41.464767959595726,74.52959166073161,2022,924.1,0,2780.4,0,0,0,0.24945336752598193,0,0.7505466324740181,NA,NA,NA
