source,source_iso3,recipient,recipient_iso3,year,category,value_usd
Australia,AUS,Hungary,HUN,2020,Power Plant,28488
Australia,AUS,Hungary,HUN,2021,Ignore,100
Australia,AUS,India,IND,2016,Enrichment,16411
Australia,AUS,India,IND,2016,Fuel fabrication,214960
Australia,AUS,India,IND,2016,Ignore,26729
Australia,AUS,India,IND,2017,Enrichment,44586
Australia,AUS,India,IND,2017,Fuel fabrication,58971
Australia,AUS,India,IND,2017,Ignore,423107
Australia,AUS,India,IND,2018,Enrichment,87254
Australia,AUS,India,IND,2018,Ignore,1283032
Australia,AUS,India,IND,2019,Enrichment,68338
Australia,AUS,India,IND,2019,Ignore,588171
Australia,AUS,India,IND,2020,Enrichment,624167
Australia,AUS,India,IND,2020,Ignore,867071
Australia,AUS,India,IND,2021,Enrichment,421844
Australia,AUS,India,IND,2021,Ignore,672245
Australia,AUS,Indonesia,IDN,2016,Enrichment,18788
Australia,AUS,Indonesia,IDN,2016,Fuel fabrication,2784
Australia,AUS,Indonesia,IDN,2016,Ignore,191369
Australia,AUS,Indonesia,IDN,2017,Enrichment,5858
