source,source_iso3,recipient,recipient_iso3,category,sum_value_usd
Austria,AUT,Malta,MLT,Ignore,65045
Austria,AUT,Mauritius,MUS,Ignore,468
Austria,AUT,Mexico,MEX,Ignore,307255
Austria,AUT,Mexico,MEX,Power Plant,76548
Austria,AUT,Mongolia,MNG,Ignore,5906
Austria,AUT,Montenegro,MNE,Ignore,825
Austria,AUT,Morocco,MAR,Ignore,15727
Austria,AUT,Netherlands,NLD,Enrichment,85661
Austria,AUT,Netherlands,NLD,Fuel fabrication,4220340
Austria,AUT,Netherlands,NLD,Ignore,833595
Austria,AUT,Netherlands,NLD,Mining,1682
Austria,AUT,Netherlands,NLD,Power Plant,1118086
Austria,AUT,New Zealand,NZL,Ignore,1091
Austria,AUT,Nigeria,NGA,Ignore,38870
Austria,AUT,Norway,NOR,Fuel fabrication,582980
Austria,AUT,Norway,NOR,Ignore,117788
Austria,AUT,Norway,NOR,Power Plant,22422
Austria,AUT,Occ. Palestinian Terr.,PSE,Ignore,433
Austria,AUT,Oman,OMN,Ignore,382
Austria,AUT,Pakistan,PAK,Ignore,68067
Austria,AUT,Pakistan,PAK,Power Plant,12437
Austria,AUT,Panama,PAN,Ignore,1454
Austria,AUT,Papua New Guinea,PNG,Power Plant,179
Austria,AUT,Peru,PER,Ignore,20
Austria,AUT,Philippines,PHL,Ignore,6241146
Austria,AUT,Poland,POL,Fuel fabrication,3086312
Austria,AUT,Poland,POL,Ignore,128088
Austria,AUT,Poland,POL,Power Plant,12819
Austria,AUT,Portugal,PRT,Fuel fabrication,876513
Austria,AUT,Portugal,PRT,Ignore,3098563
Austria,AUT,Portugal,PRT,Power Plant,4431
Austria,AUT,Rep. of Korea,KOR,Fuel fabrication,12419
Austria,AUT,Rep. of Korea,KOR,Ignore,4477358
Austria,AUT,Rep. of Korea,KOR,Mining,412
Austria,AUT,Rep. of Korea,KOR,Power Plant,508
Austria,AUT,Romania,ROM,Enrichment,3199
Austria,AUT,Romania,ROM,Fuel fabrication,490079
Austria,AUT,Romania,ROM,Ignore,352295
Austria,AUT,Romania,ROM,Power Plant,131182
Austria,AUT,Russian Federation,RUS,Fuel fabrication,27796
Austria,AUT,Russian Federation,RUS,Ignore,115448
Austria,AUT,Russian Federation,RUS,Power Plant,1729
Austria,AUT,Saudi Arabia,SAU,Ignore,10031
